date_or_period,item,action,quantity,price_gp_each,exit_price_gp_each,status,notes
2026-08-17,Wrath rune,buy,50000,346,,confirmed,"Raised total Wrath position to 185,000"
2026-08-17,Smoke rune,round_trip,,65,71,confirmed,"Successful scanner-sourced flip; quantity not explicitly confirmed. Preserve as positive execution feedback, not proof future Smoke rune setups will work."
2026-08-22,Torva platelegs,buy,1,110500000,,confirmed,"User-confirmed permanent/use gear acquisition; prioritize Torva platebody next, then Inquisitor's mace."
historical,Dexterous prayer scroll,sell,2,24000000,,user_report,"Historical sale"
historical,Dexterous prayer scroll,sell,1,25000000,,user_report,"Historical sale"
historical,Arcane prayer scroll,sell,1,6500000,,user_report,"Historical sale"
historical,Arcane prayer scroll,sell,1,6600000,,user_report,"Historical sale"
historical,Ancestral item,sell,1,66000000,,confirmed_price_exact_piece_unknown,"Do not assume which Ancestral piece was sold"
historical,Sanfew serum(4),buy,1,21850,,image_evidence,"Offer screen showed 21,958 but total purchase 21,850"
historical,Sanfew serum(4),sell,1,21039,,image_evidence,"Payout text showed 21,039 after a displayed 19,868/19,471 sequence; preserve raw evidence rather than reconciling"
